"microcolony_number","batch","colony_derived_from","treatment","corrected_consumption","day"
"60","2","6","fpf-pure",3.99100000000001,6
"61","3","1","control",4.77633333333334,6
"62","3","1","control",5.13833333333333,6
"63","3","2","control",3.55433333333333,6
"64","3","2","control",4.34233333333334,6
"65","3","3","control",3.96833333333334,6
"66","3","3","control",4.71733333333334,6
"67","3","5","control",5.72633333333334,6
"68","3","5","control",5.34933333333333,6
"69","3","6","control",5.02533333333333,6
"70","3","6","control",4.75433333333333,6
"81","3","1","fpf-pure",4.94433333333333,6
"82","3","1","fpf-pure",5.02633333333333,6
"83","3","2","fpf-pure",5.08733333333334,6
"84","3","2","fpf-pure",5.60733333333333,6
"85","3","3","fpf-pure",5.63733333333334,6
"86","3","3","fpf-pure",4.88133333333333,6
"87","3","5","fpf-pure",5.34433333333333,6
"88","3","5","fpf-pure",5.31533333333333,6
"89","3","6","fpf-pure",4.36433333333334,6
"90","3","6","fpf-pure",4.80033333333333,6
"1","1","1","control",5.0635,8
"2","1","1","control",4.9035,8
"3","1","2","control",4.1955,8
"4","1","2","control",4.2265,8
"5","1","3","control",4.3235,8
"6","1","3","control",4.9175,8
"7","1","5","control",3.0605,8
"8","1","5","control",3.7545,8
"9","1","6","control",3.8915,8
"10","1","6","control",5.9495,8
"21","1","1","fpf-pure",4.0225,8
"22","1","1","fpf-pure",4.6855,8
"23","1","2","fpf-pure",4.5645,8
"24","1","2","fpf-pure",5.0505,8
"25","1","3","fpf-pure",4.4585,8
"26","1","3","fpf-pure",5.0375,8
"27","1","5","fpf-pure",5.5475,8
"28","1","5","fpf-pure",5.0785,8
"29","1","6","fpf-pure",5.0965,8
"30","1","6","fpf-pure",5.3145,8
"31","2","1","control",4.52633333333333,8
"32","2","1","control",3.78833333333333,8
"33","2","2","control",4.81733333333333,8
"34","2","2","control",2.77633333333334,8
"35","2","3","control",4.99333333333333,8
"36","2","3","control",2.95333333333334,8
"37","2","5","control",3.29833333333334,8
"38","2","5","control",5.68933333333332,8
"39","2","6","control",5.81633333333333,8
"40","2","6","control",3.59633333333333,8
"51","2","1","fpf-pure",2.75133333333333,8
"52","2","1","fpf-pure",4.59833333333333,8
"53","2","2","fpf-pure",4.17633333333332,8
"54","2","2","fpf-pure",3.68933333333332,8
"55","2","3","fpf-pure",5.00833333333333,8
"56","2","3","fpf-pure",5.50733333333333,8
"57","2","5","fpf-pure",4.74233333333332,8
"58","2","5","fpf-pure",5.11433333333333,8
"60","2","6","fpf-pure",3.16633333333333,8
"61","3","1","control",4.85966666666667,8
"62","3","1","control",5.64866666666666,8
"63","3","2","control",3.93366666666667,8
"64","3","2","control",5.38666666666667,8
"65","3","3","control",6.55166666666667,8
"66","3","3","control",5.59966666666667,8
"67","3","5","control",6.09466666666667,8
"68","3","5","control",6.13466666666667,8
"69","3","6","control",5.51366666666666,8
"70","3","6","control",5.23466666666667,8
"81","3","1","fpf-pure",5.32966666666667,8
"82","3","1","fpf-pure",5.56366666666667,8
"83","3","2","fpf-pure",5.30966666666667,8
