"microcolony_number","batch","colony_derived_from","treatment","corrected_consumption","day"
"70","3","6","control",0.155666666666667,6
"81","3","1","fpf-pure",0.336666666666667,6
"82","3","1","fpf-pure",0.294666666666666,6
"83","3","2","fpf-pure",0.331666666666667,6
"84","3","2","fpf-pure",0.275666666666666,6
"85","3","3","fpf-pure",0.338666666666667,6
"86","3","3","fpf-pure",0.236666666666667,6
"87","3","5","fpf-pure",0.323666666666667,6
"88","3","5","fpf-pure",0.284666666666667,6
"89","3","6","fpf-pure",0.317666666666666,6
"90","3","6","fpf-pure",0.332666666666667,6
"1","1","1","control",0.173,8
"2","1","1","control",0.326,8
"3","1","2","control",0.326,8
"4","1","2","control",0.295,8
"5","1","3","control",0.207,8
"6","1","3","control",0.191,8
"7","1","5","control",0.295,8
"8","1","5","control",0.256,8
"9","1","6","control",0.0759999999999997,8
"10","1","6","control",0.282,8
"21","1","1","fpf-pure",0.316,8
"22","1","1","fpf-pure",0.395,8
"23","1","2","fpf-pure",0.184,8
"24","1","2","fpf-pure",0.426,8
"25","1","3","fpf-pure",0.281,8
"26","1","3","fpf-pure",0.137,8
"27","1","5","fpf-pure",0.284,8
"28","1","5","fpf-pure",0.179,8
"29","1","6","fpf-pure",0.326,8
"30","1","6","fpf-pure",0.297,8
"31","2","1","control",0.133999999999999,8
"32","2","1","control",0.16,8
"33","2","2","control",0.0289999999999995,8
"34","2","2","control",0.126,8
"35","2","3","control",0.0419999999999998,8
"36","2","3","control",0,8
"37","2","5","control",0.373,8
"38","2","5","control",0.15,8
"39","2","6","control",0.0710000000000002,8
"40","2","6","control",0.142,8
"51","2","1","fpf-pure",0.0809999999999995,8
"52","2","1","fpf-pure",0.241999999999999,8
"53","2","2","fpf-pure",0.175999999999999,8
"54","2","2","fpf-pure",0.194,8
"55","2","3","fpf-pure",0.166,8
"56","2","3","fpf-pure",0.0499999999999994,8
"57","2","5","fpf-pure",0.238,8
"58","2","5","fpf-pure",0.109999999999999,8
"59","2","6","fpf-pure",0.201000000000001,8
"61","3","1","control",0.396666666666667,8
"62","3","1","control",0.260666666666666,8
"64","3","2","control",0.456666666666666,8
"65","3","3","control",0.242666666666667,8
"66","3","3","control",0.273666666666666,8
"67","3","5","control",0.266666666666667,8
"68","3","5","control",0.264666666666667,8
"69","3","6","control",0.175666666666667,8
"70","3","6","control",0.230666666666667,8
"81","3","1","fpf-pure",0.268666666666666,8
"82","3","1","fpf-pure",0.224666666666666,8
"83","3","2","fpf-pure",0.389666666666666,8
"84","3","2","fpf-pure",0.212666666666666,8
"85","3","3","fpf-pure",0.347666666666667,8
"86","3","3","fpf-pure",0.407666666666666,8
"87","3","5","fpf-pure",0.272666666666667,8
"88","3","5","fpf-pure",0.252666666666666,8
"89","3","6","fpf-pure",0.215666666666667,8
"90","3","6","fpf-pure",0.269666666666667,8
"1","1","1","control",0.112333333333333,10
"2","1","1","control",0.207333333333333,10
"3","1","2","control",0.0143333333333335,10
"4","1","2","control",0.122333333333334,10
"5","1","3","control",0,10
"6","1","3","control",0.071333333333333,10
"7","1","5","control",0.430333333333333,10
"8","1","5","control",0.0643333333333338,10
"9","1","6","control",0.305333333333333,10
"10","1","6","control",0.127333333333334,10
"21","1","1","fpf-pure",0.0583333333333336,10
"22","1","1","fpf-pure",0.127333333333334,10
"23","1","2","fpf-pure",0.0583333333333331,10
"24","1","2","fpf-pure",0.284333333333334,10
"25","1","3","fpf-pure",0.0823333333333331,10
"26","1","3","fpf-pure",0.152333333333333,10
"27","1","5","fpf-pure",0.444333333333334,10
"28","1","5","fpf-pure",0.219333333333333,10
"29","1","6","fpf-pure",0.369333333333333,10
"30","1","6","fpf-pure",0.108333333333333,10
"31","2","1","control",0.0240000000000002,10
"32","2","1","control",0.110000000000001,10
"33","2","2","control",0.0980000000000001,10
